iter	RMSE
0	22.96780244
1	22.4657291
2	22.03576575
3	21.56282768
4	21.12169237
5	20.69168546
6	20.28297492
7	19.85760774
8	19.4710115
9	19.08057676
10	18.71093442
11	18.37571545
12	17.99463854
13	17.64086391
14	17.29799585
15	16.93988308
16	16.60872698
17	16.26139375
18	15.95071256
19	15.64758534
20	15.34088462
21	15.03416389
22	14.72411251
23	14.43492848
24	14.1922289
25	13.88236397
26	13.63606743
27	13.40378615
28	13.14294352
29	12.88894908
30	12.64022583
31	12.41925067
32	12.18097721
33	11.97935775
34	11.78533533
35	11.57669861
36	11.39953245
37	11.2024674
38	10.98665683
39	10.77855924
40	10.61021422
41	10.40707875
42	10.23545487
43	10.06559496
44	9.912237763
45	9.758943274
46	9.59032219
47	9.44182105
48	9.284807551
49	9.131339646
50	8.976774786
51	8.808897726
52	8.626522154
53	8.484589706
54	8.324145098
55	8.188811039
56	8.074673942
57	7.948574607
58	7.826934452
59	7.681749459
60	7.554284546
61	7.438853466
62	7.323964109
63	7.219930051
64	7.138799318
65	7.035357837
66	6.927458601
67	6.838259512
68	6.771807167
69	6.678005639
70	6.601383425
71	6.512425016
72	6.411713524
73	6.327062981
74	6.248380664
75	6.157747031
76	6.078428106
77	5.97498928
78	5.908687731
79	5.840511219
80	5.775912755
81	5.718366522
82	5.645252503
83	5.598965583
84	5.548044544
85	5.485183166
86	5.442631181
87	5.364652058
88	5.320172506
89	5.253502912
90	5.185484513
91	5.117965626
92	5.079076794
93	5.018031116
94	4.953781918
95	4.919103106
96	4.861956834
97	4.793240557
98	4.724950925
99	4.674605526
100	4.621699633
101	4.560551109
102	4.525197398
103	4.468853352
104	4.421002119
105	4.381386972
106	4.341249252
107	4.308506376
108	4.277430002
109	4.235858546
110	4.208743507
111	4.169353713
112	4.140718131
113	4.090433297
114	4.052151313
115	4.003060565
116	3.96160617
117	3.938693012
118	3.911748431
119	3.873145634
120	3.839616163
121	3.806859005
122	3.772849584
123	3.740041048
124	3.702031276
125	3.678074836
126	3.650086582
127	3.624350141
128	3.597537101
129	3.576011976
130	3.553777588
131	3.530526998
132	3.495109555
133	3.460463046
134	3.427045639
135	3.40345622
136	3.368366096
137	3.339333647
138	3.313734237
139	3.292904487
140	3.27951336
141	3.253964054
142	3.23840451
143	3.22721731
144	3.204143418
145	3.187394439
146	3.179230227
147	3.161384018
148	3.151884422
149	3.13283981
150	3.116156822
151	3.10197171
152	3.086397054
153	3.064632052
154	3.03980198
155	3.031995383
156	3.010542413
157	2.995654872
158	2.980122802
159	2.95660276
160	2.946657913
161	2.929057895
162	2.908637725
163	2.905825912
164	2.893320977
165	2.881835624
166	2.862621468
167	2.850516208
168	2.834170764
169	2.832038613
170	2.829531892
171	2.815532565
172	2.802119162
173	2.786549514
174	2.778721621
175	2.772293583
176	2.752784561
177	2.736985763
178	2.723210233
179	2.708486849
180	2.698210446
181	2.69027612
182	2.675957327
183	2.674335841
184	2.658020551
185	2.647942718
186	2.645948519
187	2.637080373
188	2.628468946
189	2.618776544
190	2.612229721
191	2.610392777
192	2.599098877
193	2.586740076
194	2.578007939
195	2.572814971
196	2.566348124
197	2.562414337
198	2.551905829
199	2.5489127
200	2.541763891
201	2.536453646
202	2.533783286
203	2.521472646
204	2.516913398
205	2.507770444
206	2.499987394
207	2.486558037
208	2.485141604
209	2.478870297
210	2.471293867
211	2.469204883
212	2.465239184
213	2.459955699
214	2.453840791
215	2.450865851
216	2.447149172
217	2.438116993
218	2.432400085
219	2.428069326
220	2.424722919
221	2.416404766
222	2.415197775
223	2.412399401
224	2.408136444
225	2.403486563
226	2.397461818
227	2.396409536
228	2.389026066
229	2.384599943
230	2.381424078
231	2.374279944
232	2.372658199
233	2.371025509
234	2.369571836
235	2.364974226
236	2.360758352
237	2.353632048
238	2.350889535
239	2.3491909
240	2.348377455
241	2.34375913
242	2.339845361
243	2.338761739
244	2.337100863
245	2.332331216
246	2.329295646
247	2.328129242
248	2.326350137
249	2.319908734
250	2.318007929
251	2.315080966
252	2.313754733
253	2.312815999
254	2.311440071
255	2.308545535
256	2.306866031
257	2.304306154
258	2.297981878
259	2.297024587
260	2.294568857
261	2.290083103
262	2.288217648
263	2.287377855
264	2.278075067
265	2.277410352
266	2.276142524
267	2.272386956
268	2.270859139
269	2.268903393
270	2.267882868
271	2.266943981
272	2.265174485
273	2.263421775
274	2.261601936
275	2.257386813
276	2.256314109
277	2.254784543
278	2.253156248
279	2.248939024
280	2.247633465
281	2.245411429
282	2.244637198
283	2.242721148
284	2.241697484
285	2.241196891
286	2.240175642
287	2.23734124
288	2.235741917
289	2.235106722
290	2.232623585
291	2.23071196
292	2.22978356
293	2.228416081
294	2.225720396
295	2.221991554
296	2.220611357
297	2.22021534
298	2.218747723
299	2.217803479
300	2.214301034
301	2.214053879
302	2.213232323
303	2.211081349
304	2.209927097
305	2.208805764
306	2.208268024
307	2.205378059
308	2.204678942
309	2.202632093
310	2.20151136
311	2.20038741
312	2.200255942
313	2.199753889
314	2.198462174
315	2.196994128
316	2.196625753
317	2.196159058
318	2.195686968
319	2.194613894
320	2.194421818
321	2.193548158
322	2.192784262
323	2.191396015
324	2.190380492
325	2.190159255
326	2.189586999
327	2.187150461
328	2.18648723
329	2.185530936
330	2.182407421
331	2.181065074
332	2.180311266
333	2.180302081
334	2.180139825
335	2.179563155
336	2.178814252
337	2.178208496
338	2.173397325
339	2.172494669
340	2.167662139
341	2.16746484
342	2.165587583
343	2.1646322
344	2.16457246
345	2.163777432
346	2.163612787
347	2.163515474
348	2.162873719
349	2.161160366
350	2.161016821
351	2.160876241
352	2.160529782
353	2.155621495
354	2.154553497
355	2.15392172
356	2.153873814
357	2.153239867
358	2.152484235
359	2.152181938
360	2.151652225
361	2.150772335
362	2.14911398
363	2.148458437
364	2.148269812
365	2.148064278
366	2.147638378
367	2.147464412
368	2.14719045
369	2.147117395
370	2.145298774
371	2.144797602
372	2.14382893
373	2.143487955
374	2.142514698
375	2.141782021
376	2.141393062
377	2.140554524
378	2.140073793
379	2.139791179
380	2.139277204
381	2.138815123
382	2.138663138
383	2.138403354
384	2.138009255
385	2.135043029
386	2.130230606
387	2.12975311
388	2.126463692
389	2.126327065
390	2.125825671
391	2.125527345
392	2.124969542
393	2.124557414
394	2.124527222
395	2.124357579
396	2.124158385
397	2.123994912
398	2.119943938
399	2.117802928
400	2.117572719
401	2.11724869
402	2.116940151
403	2.115025178
404	2.114434887
405	2.114223172
406	2.114065255
407	2.113689318
408	2.112490664
409	2.112195505
410	2.111313965
411	2.111107723
412	2.110220106
413	2.109090769
414	2.108744971
415	2.108020743
416	2.10185878
417	2.101779046
418	2.101622548
419	2.096218447
420	2.095092326
421	2.089241788
422	2.089139397
423	2.088501771
424	2.08832719
425	2.088048072
426	2.087800401
427	2.087706794
428	2.087431399
429	2.08111517
430	2.079724811
431	2.079635553
432	2.075526546
433	2.07405019
434	2.069081271
435	2.067938366
436	2.06783506
437	2.067531324
438	2.06744553
439	2.065734006
440	2.065651018
441	2.06552658
442	2.065303538
443	2.065138311
444	2.064850848
445	2.059360727
446	2.059266288
447	2.058708394
448	2.058580696
449	2.056987519
450	2.056889073
451	2.056792335
452	2.056362986
453	2.056089812
454	2.053820583
455	2.048240454
456	2.04517457
457	2.043691807
458	2.041703462
459	2.041605428
460	2.04147592
461	2.041415789
462	2.03728248
463	2.034155632
464	2.032564471
465	2.032503324
466	2.029936283
467	2.029845564
468	2.028620251
469	2.028531602
470	2.028324617
471	2.027868121
472	2.027328978
473	2.021331641
474	2.019155007
475	2.014589655
476	2.014559131
477	2.013987497
478	2.013592773
479	2.013407409
480	2.013358894
481	2.012956371
482	2.012202554
483	2.011894146
484	2.011697286
485	2.00692265
486	2.002149349
487	2.001403127
488	2.001322916
489	2.001098238
490	1.996199252
491	1.996118537
492	1.995823866
493	1.99560349
494	1.99358223
495	1.993430117
496	1.993243846
497	1.992982453
498	1.992884506
499	1.991922336
500	1.991778824
501	1.990709241
502	1.99028286
503	1.98917078
504	1.988190851
505	1.987974851
506	1.98695746
507	1.986904694
508	1.985709263
509	1.98283536
510	1.977691869
511	1.977534018
512	1.976761823
513	1.974228542
514	1.974151628
515	1.97399814
516	1.973896727
517	1.964165543
518	1.963422196
519	1.963381439
520	1.958518565
521	1.956561545
522	1.956364588
523	1.955914109
524	1.955859494
525	1.955765012
526	1.954406221
527	1.95148752
528	1.948098171
529	1.947554074
530	1.945563868
531	1.94539992
532	1.9452131
533	1.942586776
534	1.942428408
535	1.942342922
536	1.941818985
537	1.941764738
538	1.94163051
539	1.938537917
540	1.937867798
541	1.9363529
542	1.93529956
543	1.935148312
544	1.934132499
545	1.933975163
546	1.931886397
547	1.931142364
548	1.930689162
549	1.930637796
550	1.927149165
551	1.927094431
552	1.922368667
553	1.921778628
554	1.919518641
555	1.919380835
556	1.91932873
557	1.917121419
558	1.916007315
559	1.915319169
560	1.914573398
