iter	Passed	Remaining
0	15	15018
1	43	21603
2	65	21776
3	89	22236
4	113	22516
5	134	22205
6	156	22134
7	183	22720
8	204	22559
9	230	22781
10	251	22599
11	272	22472
12	297	22601
13	325	22943
14	349	22941
15	375	23097
16	398	23065
17	420	22951
18	444	22927
19	466	22860
20	492	22977
21	515	22921
22	526	22373
23	550	22379
24	572	22346
25	587	22022
26	609	21970
27	631	21908
28	654	21923
29	677	21896
30	699	21857
31	722	21863
32	745	21852
33	770	21899
34	799	22039
35	829	22206
36	864	22509
37	896	22694
38	918	22642
39	940	22579
40	962	22523
41	984	22466
42	1008	22437
43	1030	22382
44	1051	22307
45	1073	22265
46	1095	22210
47	1138	22572
48	1161	22551
49	1188	22587
50	1217	22649
51	1243	22678
52	1283	22933
53	1319	23124
54	1350	23203
55	1386	23377
56	1422	23533
57	1449	23549
58	1481	23623
59	1512	23691
60	1536	23646
61	1568	23732
62	1603	23850
63	1630	23844
64	1656	23828
65	1705	24142
66	1736	24177
67	1763	24173
68	1788	24129
69	1806	24000
70	1829	23936
71	1843	23763
72	1871	23764
73	1888	23633
74	1909	23553
75	1930	23471
76	1953	23414
77	1979	23400
78	2003	23362
79	2025	23295
80	2046	23221
81	2068	23155
82	2094	23142
83	2114	23055
84	2135	22984
85	2158	22941
86	2175	22831
87	2196	22768
88	2221	22735
89	2244	22693
90	2267	22650
91	2293	22631
92	2311	22547
93	2332	22483
94	2360	22490
95	2385	22466
96	2406	22405
97	2425	22322
98	2449	22291
99	2468	22220
100	2496	22224
101	2526	22243
102	2554	22250
103	2582	22248
104	2610	22253
105	2633	22214
106	2656	22168
107	2683	22162
108	2704	22106
109	2726	22058
110	2749	22023
111	2770	21967
112	2795	21940
113	2816	21892
114	2840	21862
115	2866	21844
116	2887	21791
117	2910	21752
118	2932	21712
119	2953	21661
120	2975	21612
121	2996	21562
122	3018	21518
123	3040	21481
124	3063	21446
125	3090	21436
126	3112	21392
127	3134	21353
128	3156	21309
129	3178	21272
130	3200	21232
131	3222	21192
132	3244	21151
